maand,POD,rx,cu,lg_rx,lg2_rx,lg3_rx,lg4_rx
201707,25894,25490,848493.42,26062,27798,23321,26514
201708,26248,27564,900944.78,25490,26062,27798,23321
201709,26667,26162,854792.6,27564,25490,26062,27798
201710,27111,27440,916584.92,26162,27564,25490,26062
201711,27628,28088,940596.01,27440,26162,27564,25490
201712,27992,28094,964386.28,28088,27440,26162,27564
201801,28464,28231,914764.33,28094,28088,27440,26162
201802,28617,26082,875517.94,28231,28094,28088,27440
201803,29262,30202,1008254.57,26082,28231,28094,28088
201804,29488,27235,922463.84,30202,26082,28231,28094
201805,29979,30677,1051158.54,27235,30202,26082,28231
201806,30301,28761,987616.39,30677,27235,30202,26082
201807,30785,29698,1030343.79,28761,30677,27235,30202
201808,30880,30429,1026993.22,29698,28761,30677,27235
201809,31020,27355,953535.52,30429,29698,28761,30677
201810,31520,30841,1079254.51,27355,30429,29698,28761
201811,32329,31271,1099237.64,30841,27355,30429,29698
201812,32838,30727,1112583.77,31271,30841,27355,30429
201901,33619,31255,1084499.38,30727,31271,30841,27355
201902,34393,29386,1052980.56,31255,30727,31271,30841
201903,35789,31814,1144205.51,29386,31255,30727,31271
201904,36547,32753,1206071.31,31814,29386,31255,30727
201905,37007,34511,1272159.55,32753,31814,29386,31255
201906,37100,29416,1122274.7,34511,32753,31814,29386
